,Symbol,Avg Return,Sharpe Ratio
192,ISLAMIINS,-0.28771071295128015,-8.10139870510944
124,EBL,0.20860157866160556,-8.113859094697613
68,BAYLEASING,-0.284344347182576,-8.11523946021699
222,MEGHNALIFE,0.09215115973710096,-8.130692012617196
120,DUTCHBANGL,-0.14686695330363203,-8.137346370533301
185,ILFSL,-0.24553091585316594,-8.19980430019348
337,SINOBANGLA,0.23750987593588002,-8.237187264592519
221,MEGHNACEM,0.2817183482139786,-8.283622819026201
71,BDAUTOCA,0.24446086105999693,-8.296625954123014
287,PROGRESLIF,0.19709831200981587,-8.332108162536954
320,SAPORTL,-0.3382596929431065,-8.336006665225522
274,POPULARLIF,0.07912742814628887,-8.393872851619854
100,CONFIDCEM,0.33427725878003395,-8.431013574903181
246,NHFIL,-0.3129433421438536,-8.438993726699916
