symbol,Alpha,Beta,R Squared,R Squared Adj
DESCO,-0.00030096684027149545,0.8433521155331061,0.11078214657727137,0.1101007535861428
DESHBANDHU,-5.3984663299117234e-05,1.3841786451288842,0.126962852202266,0.1262938582192792
DHAKABANK,-0.00019124164018864936,1.3458810278553541,0.22231769688558878,0.22172177174910257
DHAKAFISH,-0.00024131386599206357,-1.938011383317839e-18,-0.02567372268979007,-0.026459679565414396
DHAKAINS,0.0001856381533388154,1.2728200659705342,0.11678037579154266,0.11610357914463953
DOREENPWR,5.147583435321587e-05,0.8457799441428379,0.04469814068695788,0.04352886056539962
DS30,-1.0855458063357051e-05,0.9675443385853544,0.8428114762270675,0.8426910252509963
DSES,3.141981206490217e-05,0.8791925542968994,0.8078124683124598,0.8076651981732357
DSHGARME,0.00047813224445854936,0.693913088286625,0.02867138746987896,0.027927074356829062
DSSL,0.00027014468495891635,1.362074570256032,0.07106263385906153,0.06993937223132163
DULAMIACOT,0.0020354005065758977,0.4640518461587141,0.005762156245488703,0.005000288165983302
DUTCHBANGL,-2.630242582987732e-05,0.9651642288391814,0.07033164963538108,0.06961926009487174
DYNAMICTEX,-0.00024131386599206357,-1.938011383317839e-18,-0.02567372268979007,-0.026459679565414396
EAGLESTAR,-0.00024131386599206357,-1.938011383317839e-18,-0.02567372268979007,-0.026459679565414396
EASTERNINS,0.00022111283945146353,0.9420286253142722,0.05894824113962194,0.05822712868072499
EASTLAND,-0.0005223196675918625,0.4048137246742205,0.028908000314793014,0.028163868514267887
EASTLAND ,-0.00031756526263264015,0.9627766008446638,0.09568721105099709,0.094888348163233
EASTRNLUB,0.000761267578208596,0.29510192248916667,0.004864371510236665,0.004101815473079751
EBL,0.00023673652627794378,1.0185361704770475,0.15178178994767721,0.15113181430779032
EBL1STMF,-6.921297820807262e-05,0.7481097028183847,0.050035734354112016,0.04930779238809979
EBLNRBMF,-0.00021307424160791892,0.6654710490970019,0.0340867764750834,0.033346613085409094
ECABLES,0.0006840096964065639,0.749071604801622,0.03264499764772233,0.03190372944668607
EHL,3.701884126900243e-05,1.0717020357381242,0.12860969231290154,0.12794196027635962
EMERALDOIL,-0.0007022057028001759,1.1847943932714593,0.06157254624426123,0.06085344474713039
ENVOYTEX,-0.0003889361556134193,0.7157294534334153,0.08282080916001555,0.08211798985668983
ESQUIRENIT,-0.0014798433718385012,1.0572486611404184,0.1177823216141981,0.10752397651668877
ETL,-0.0006046619753443024,1.2476406621476037,0.08330153514761052,0.08208252123158344
EXCELSHOE,-0.00024131386599206357,-1.938011383317839e-18,-0.02567372268979007,-0.026459679565414396
