,Symbol,Avg Return,Sharpe Ratio,Horizon Return
83,BSC,-0.09,-12.63,-40.22
221,MIRACLEIND,0.24,-12.75,10.49
124,EMERALDOIL,-0.18,-13.09,-27.88
43,ALLTEX,-0.09,-13.16,-21.91
275,PROGRESLIF,0.25,-13.17,13.03
11,09.IT_Sector,0.21,-13.45,9.37
179,INTECH,0.33,-13.45,22.78
73,BDWELDING,0.06,-13.45,-6.84
114,DSSL,0.12,-13.47,-1.32
158,HAKKANIPUL,0.14,-13.54,1.66
321,SONALIANSH,0.49,-13.57,44.97
90,CAPMIBBLMF,0.07,-13.66,-5.63
291,RENWICKJA,0.58,-13.69,60.17
149,GLOBALINS,0.26,-13.71,15.3
118,EASTRNLUB,0.44,-13.82,37.79
330,STANDARINS,0.26,-13.92,15.95
315,SHURWID,0.16,-13.95,4.34
33,ADVENT,-0.17,-14.05,-25.69
320,SINOBANGLA,0.43,-14.28,38.77
199,KPPL,0.01,-14.34,-10.35
37,AGRANINS,0.21,-14.38,10.85
220,MIDASFIN,0.14,-14.57,3.34
67,BBSCABLES,0.12,-14.64,1.0
127,EXIM1STMF,0.03,-14.7,-8.17
322,SONARBAINS,0.23,-14.72,13.56
161,HRTEX,0.28,-14.74,19.77
122,ECABLES,0.31,-14.74,22.97
311,SEMLLECMF,-0.09,-14.81,-18.45
39,AIL,-0.52,-14.82,-47.47
57,ASIAPACINS,0.22,-14.86,12.37
287,REGENTTEX,-0.05,-14.95,-15.21
253,PENINSULA,0.14,-14.98,3.26
91,CENTRALINS,0.18,-15.02,8.57
292,REPUBLIC,0.19,-15.08,9.02
180,INTRACO,-0.5,-15.12,-45.96
189,JANATAINS,0.16,-15.23,6.3
274,PRIMETEX,0.19,-15.27,9.95
80,BIFC,-0.17,-15.31,-24.01
49,APEXFOODS,0.16,-15.39,5.95
113,DSHGARME,0.29,-15.42,21.75
99,DACCADYE,-0.25,-15.44,-30.24
272,PRIMEINSUR,0.19,-15.48,9.6
276,PROVATIINS,0.21,-15.5,12.63
235,NHFIL,0.21,-15.6,12.75
88,BXSYNTH,-0.05,-15.69,-14.19
45,AMBEEPHA,0.31,-15.71,24.53
228,NAHEEACP,-0.2,-15.74,-26.18
282,RAHIMTEXT,0.14,-15.84,4.5
345,UNITEDAIR,-0.32,-15.93,-34.9
352,VAMLBDMF1,-0.17,-15.93,-23.76
298,SAFKOSPINN,0.09,-15.95,-0.59
70,BDFINANCE,0.1,-16.02,0.66
195,KDSALTD,-0.02,-16.03,-10.5
7,05.Financial_Institutions,-0.09,-16.04,-16.77
60,BANGAS,0.05,-16.08,-4.07
301,SAIHAMTEX,0.26,-16.09,19.01
297,RUPALILIFE,0.21,-16.09,12.85
336,TALLUSPIN,-0.24,-16.09,-28.87
