symbol,Alpha,Beta,Data Length,Market Premium C,Market Premium S,Market Variance,R Squared,R Squared Adj,Regression Variance,Residual Variance,Symbol Variance,Total Variance
FAREASTFIN,-0.0006459236007218678,1.5004227764676548,1307.0,0.023084423690658218,-0.03224159613582199,0.0115172389273445,0.1255462249464585,0.12487614542534464,0.025908559197430858,0.1804581332975449,0.20652470680775903,0.20636669249497572
FAREASTLIF,-0.00038680939877986997,0.8466656084945098,1307.0,0.023084423690658218,-0.03224159613582199,0.0115172389273445,0.08926523793384433,0.08856735689011541,0.008249731310656554,0.08416845410627519,0.0924889497242954,0.09241818541693175
FASFIN,-0.0002311899588140218,1.6768699373563696,1307.0,0.023084423690658218,-0.03224159613582199,0.0115172389273445,0.17392023214979624,0.17328722083343584,0.032360462761494624,0.15370450714737022,0.18620743925795283,0.18606496990886487
FBFIF,-0.00046816090927451133,0.6256960724306838,1307.0,0.023084423690658218,-0.03224159613582199,0.0115172389273445,0.02595390252542218,0.02520750704843011,0.004505498231402215,0.16909067779603826,0.17372909806115214,0.17359617602744049
FEDERALINS,-0.0004087509880429429,1.3043687503039472,1307.0,0.023084423690658218,-0.03224159613582199,0.0115172389273445,0.1287375141336743,0.12806988004488784,0.019580182568938016,0.13251365504087462,0.15221029537214784,0.15209383760981263
FEKDIL,-0.0006973435267857218,1.3372555583726744,1210.0,0.02256650303716734,-0.03270182670378058,0.011610583383687369,0.12981122846039872,0.12909087351707127,0.02074549471287869,0.1390672962061093,0.15994497685026918,0.15981279091898798
FIDELASSET,-0.00023428854745177763,-1.9651164376299768e-18,1307.0,0.023084423690658218,-0.03224159613582199,0.0115172389273445,-inf,-inf,-2.999783786618029e-36,2.999783786618029e-36,0.0,0.0
FINEFOODS,0.0009159128162293757,0.7389635132946091,1307.0,0.023084423690658218,-0.03224159613582199,0.0115172389273445,0.02443383849707559,0.02368627822006175,0.0062843730371672955,0.25091520851525484,0.2573965184448819,0.2571995815524222
FIRSTFIN,-0.0005310006659481891,1.266629257157618,1067.0,0.03131201009732876,-0.024565811275435723,0.010849790329427135,0.08682129281388684,0.08596384801840695,0.01739054375886739,0.18291220681346476,0.20049065183928555,0.20030275057233216
FIRSTSBANK,-8.32903166687367e-05,1.3503233643325758,1307.0,0.023084423690658218,-0.03224159613582199,0.0115172389273445,0.23955425361441207,0.23897153656737324,0.02098415716127765,0.06661252227424543,0.08766375193126237,0.08759667943552307
FLEASEINT,-0.0005943946313723684,0.3444867411986056,1307.0,0.023084423690658218,-0.03224159613582199,0.0115172389273445,0.04529264444490477,0.04456106792723802,0.0013657178578640756,0.028787475328402014,0.03017628138931836,0.03015319318626609
FORTUNE,-0.0004367069281200354,1.0695872573543863,693.0,0.03043956181563523,-0.02542349222783514,0.010822188846720336,0.07094278244553132,0.06959827127685625,0.012362901482917894,0.1619029090300813,0.17451763971894285,0.17426581051299922
FUWANGCER,-0.00021312831604969204,1.3413519272127294,1307.0,0.023084423690658218,-0.03224159613582199,0.0115172389273445,0.13548347312315556,0.13482100835160238,0.020706249415665675,0.13212604029721706,0.1529493129056185,0.15283228971288274
FUWANGCER ,-0.00025090362519353455,0.0003325378047124363,1134.0,0.011572910963337346,-0.04378980646388005,0.011053559873158323,2.3997491535032722e-06,-0.0008809903570752287,1.2212401505764463e-09,0.0005089020317533596,0.0005093524173827365,0.0005089032529935102
FUWANGFOOD,-9.329780252844223e-05,1.268374296822245,1307.0,0.023084423690658218,-0.03224159613582199,0.0115172389273445,0.1226157136870677,0.12194338856345621,0.018514450675323587,0.13248129137593614,0.15111135900535716,0.1509957420512597
GACHIHATA,-0.00023428854745177763,-1.9651164376299768e-18,1307.0,0.023084423690658218,-0.03224159613582199,0.0115172389273445,-inf,-inf,-2.999783786618029e-36,2.999783786618029e-36,0.0,0.0
GBBPOWER,-0.00030901212865073015,1.4409496677412663,1307.0,0.023084423690658218,-0.03224159613582199,0.0115172389273445,0.18830261606431442,0.18768062573179656,0.023895360570836792,0.10300335740913737,0.12699588392023445,0.12689871797997415
GBJVFOOD,-0.00023428854745177763,-1.9651164376299768e-18,1307.0,0.023084423690658218,-0.03224159613582199,0.0115172389273445,-inf,-inf,-2.999783786618029e-36,2.999783786618029e-36,0.0,0.0
GEMINISEA,0.0009404120573256702,0.3342771399216874,1307.0,0.023084423690658218,-0.03224159613582199,0.0115172389273445,0.002907881947594504,0.002143826684719019,0.0012859655110339738,0.44094846291813716,0.44257304590882596,0.44223442842917116
GENEXIL,0.003109910983798466,1.558085224619332,128.0,-0.22126983840524017,-0.30438390622070843,0.012903416352199755,0.10452207398114399,0.0974151063143277,0.031079990717835387,0.266273377178809,0.29969473299819277,0.29735336789664435
GENNEXT,-0.0010076521413015754,1.4147880676612508,1307.0,0.023084423690658218,-0.03224159613582199,0.0115172389273445,0.17867977894476905,0.17805041479070371,0.02303555829836393,0.10588534385634689,0.12901961647489055,0.12892090215471083
GHAIL,3.106623090357302e-05,1.3586389566851522,1307.0,0.023084423690658218,-0.03224159613582199,0.0115172389273445,0.13006450701874628,0.12939788978274525,0.021243403195438937,0.1420863451145832,0.16345480937304666,0.16332974831002214
GHCL,-0.000106369920911486,0.9777169821831262,1307.0,0.023084423690658218,-0.03224159613582199,0.0115172389273445,0.09828678441851646,0.09759581643722792,0.011001256308179226,0.10092891185496473,0.1120158727329473,0.11193016816314397
GLAXOSMITH,0.00015612383217850794,0.3183478993884713,1307.0,0.023084423690658218,-0.03224159613582199,0.0115172389273445,0.020866038775445017,0.020115744552284376,0.0011663259617095288,0.05472957139864877,0.05593869666921004,0.055895897360358306
GLOBALINS,0.00026899535863883614,1.4252913366692943,1307.0,0.023084423690658218,-0.03224159613582199,0.0115172389273445,0.10346830025873499,0.10278130278766884,0.02337885603249014,0.20257301496595564,0.22612488161942468,0.2259518709984458
GOLDENSON,-0.0012598235955822716,1.4586380609015053,1307.0,0.023084423690658218,-0.03224159613582199,0.0115172389273445,0.16621252311102952,0.16557360550421796,0.02448561683077303,0.12282949741255451,0.1474279129525491,0.14731511424332752
GP,0.00021631981538754392,0.7036486544407501,1307.0,0.023084423690658218,-0.03224159613582199,0.0115172389273445,0.1355804922221051,0.1349181017946891,0.005698068801689751,0.03632913369847003,0.042059382593957764,0.04202720250015979
